Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
CYCLOSERINE;;-1.19;;III;III;250.0;100.0;I/III
CYCLOSPORINE;0.3;11.5;;II;II;50.0;0.01;III/IV
D-PENICILLAMINE;;-1.73;III;III;III;250.0;100.0;III
DAPSONE;;0.89;II;IV;II;100.0;0.23;II
DARUNAVIR;;2.89;;II;II;800.0;0.15;
DASABUVIR;;4.07;;II;II;250.0;0.01;
DELAMANID;;5.25;;II;II;50.0;0.1;
DEXAMETHASONE;8.1;1.79;I/III;I/III;I;4.0;0.1;
DIAZEPAM;;3.17;I;II;I;10.0;0.05;I
DIETHYLCARBAMAZINE;;1.62;I;I/III;I;100.0;63.7;I
DIGOXIN;;1.27;I;I/III;III;0.25;0.99;I
DILOXANIDE;;1.77;II/IV;II;II;500.0;0.1;II/IV
EFAVIRENZ;;4.95;II/IV;II;II;0.33;0.005;II/IV
EMTRICITABINE;;-1.29;;III;III;200.0;112.0;
ENALAPRIL MALEATE;3.4;0.67;;I/III;I;20.0;25.0;III
ENTECAVIR;;-2.76;;III;III;1.0;2.4;
ERYTHROMYCIN;0.1;1.47;III;I;IV;500.0;0.33;IV
ETHAMBUTOL HYDROCHLORIDE;;0.12;III;III;III;4.0;700.0;III
ETHINYL ESTRADIOL;;3.86;I/III;I;I;0.03;0.01;I/III
ETHIONAMIDE;14.6;1.73;;I/III;I;250.0;5.03;I/III
ETHOSUXIMIDE;;0.4;I;III;I;250.0;100.0;I/III
FLUCYTOSINE;;-1.63;;III;III;250.0;1.47;I/III
FLUDARABINE;;-2.0;;III;III;10.0;3.53;
FLUDROCORTISONE;;1.73;;I/III;I;0.1;0.09;
FLUOXETINE HYDROCHLORIDE;;;;I;I;20.0;15.2;
FOLIC ACID;;-2.31;II/IV;III;IV;5.0;0.01;I/III
GLICLAZIDE;;0.85;;II/IV;II;80.0;0.004;
GLYCERYL TRINITRATE;;-5.76;I/III;III;III;0.5;1.48;I/III
GRISEOFULVIN;7.8;1.77;II;II/IV;II;250.0;0.013999999999999999;II
HALOPERIDOL;;3.85;II/IV;II;II;5.0;0.01;III/IV
HYDRALAZINE HYDROCHLORIDE;;1.17;III;III;III;50.0;44.2;III
HYDROXYCHLOROQUINE SULFATE;;4.12;;I;I;200.0;20.0;
IBUPROFEN;10.8;3.68;II;II;II;600.0;0.038;II
ISONIAZID;;-0.67;I;III;I/III;300.0;153.0;III
ISOSORBIDE DINITRATE;;-5.54;I/III;III;III;5.0;0.55;I/III
ISOTRETINOIN;;6.74;;II;II;40.0;0.01;
IVERMECTIN;;5.38;II/IV;II;II;3.0;0.0007;II/IV
METFORMIN HYDROCHLORIDE;0.2;-1.63;III;III;III;500.0;33.0;III
METHOTREXATE;0.2;-0.53;III;III;III;15.0;0.45;III
METOCLOPRAMIDE HYDROCHLORIDE;;2.23;I/III;I/III;III;10.0;0.04;III
MIDAZOLAM;10.0;3.42;;I;I;15.0;0.27;
MILTEFOSINE;;-2.38;;III/IV;;50.0;;
MISOPROSTOL;;3.07;;I;I/III;0.2;0.002;III/IV
MORPHINE SULFATE;;-0.22;I/III;III;III;10.0;0.27;I/III
NEOSTIGMINE BROMIDE;1.1;2.23;III;I;III;15.0;100.0;
NEVIRAPINE;;2.42;II;II;II;200.0;0.1;II
NICLOSAMIDE;;4.34;II/IV;II;II/IV;500.0;0.013000000000000001;II/IV
NICOTINAMIDE;;-7.16;I;III;I;50.0;366.8;I
NIFEDIPINE;11.0;3.41;II;II;II;10.0;0.008;II
NIFURTIMOX;;0.02;III;III;III;250.0;33.0;III
NITROFURANTOIN;;-0.47;II;IV;II/IV;100.0;0.16;II
NORETHISTERONE;;;I;I;I;1.0;0.01;I
OMBITASVIR;;;;;II/IV;12.5;0.01;
OMEPRAZOLE;;2.56;;I;I;40.0;0.5;
ONDANSETRON;;2.72;;I/III;I;8.0;5.7;
OXAMNIQUINE;;1.81;;II;II;250.0;0.82;II/IV
p-AMINOSALICYLIC ACID;;1.06;;III;I/III;500.0;3.2;II/IV
PARITAPRAVIR;;;;;II;75.0;0.01;
PHENOBARBITAL;;1.37;I;I/III;I;100.0;0.01;I
PHENOXYMETHYLPENICILLIN;;1.62;I;I/III;III;250.0;33.0;I
;;;;;;;;
