Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
DARUNAVIR;;2.89;;II;II;800.0;0.15;
DASABUVIR;;4.07;;II;II;250.0;0.01;
DELAMANID;;5.25;;II;II;50.0;0.1;
DESIPRAMINE;14.6;4.47;;I;I;150.0;25.0;
DEXAMETHASONE;8.1;1.79;I/III;I/III;I;4.0;0.1;
DIAZEPAM;;3.17;I;II;I;10.0;0.05;I
DIETHYLCARBAMAZINE;;1.62;I;I/III;I;100.0;63.7;I
DIGOXIN;;1.27;I;I/III;III;0.25;0.99;I
DILOXANIDE;;1.77;II/IV;II;II;500.0;0.1;II/IV
DOXYCYCLINE HYCLATE;;-3.66;I;IV;I;100.0;28.0;I
EFAVIRENZ;;4.95;II/IV;II;II;0.33;0.005;II/IV
EMTRICITABINE;;-1.29;;III;III;200.0;112.0;
ENALAPRIL MALEATE;3.4;0.67;;I/III;I;20.0;25.0;III
ENALAPRILAT;;0.88;;III;III;;;
ENTECAVIR;;-2.76;;III;III;1.0;2.4;
ERYTHROMYCIN;0.1;1.47;III;I;IV;500.0;0.33;IV
ETHAMBUTOL HYDROCHLORIDE;;0.12;III;III;III;4.0;700.0;III
ETHINYL ESTRADIOL;;3.86;I/III;I;I;0.03;0.01;I/III
ETHIONAMIDE;14.6;1.73;;I/III;I;250.0;5.03;I/III
ETHOSUXIMIDE;;0.4;I;III;I;250.0;100.0;I/III
ETOPOSIDE;0.46;0.03;;IV;IV;100.0;0.22;II/IV
FEXOFENADINE;;1.96;;I;III;;;
FLUCONAZOLE;;0.53;I;III;I;50.0;6.9;I
FLUCYTOSINE;;-1.63;;III;III;250.0;1.47;I/III
FLUDARABINE;;-2.0;;III;III;10.0;3.53;
FLUDROCORTISONE;;1.73;;I/III;I;0.1;0.09;
FLUOXETINE HYDROCHLORIDE;;;;I;I;20.0;15.2;
FLUVASTATIN;;4.05;;I;I;40.0;2.0;
FOLIC ACID;;-2.31;II/IV;III;IV;5.0;0.01;I/III
FUROSEMIDE;0.6;1.9;IV;II/IV;IV;40.0;0.01;II/IV
GLICLAZIDE;;0.85;;II/IV;II;80.0;0.004;
GLYCERYL TRINITRATE;;-5.76;I/III;III;III;0.5;1.48;I/III
GRISEOFULVIN;7.8;1.77;II;II/IV;II;250.0;0.013999999999999999;II
HALOPERIDOL;;3.85;II/IV;II;II;5.0;0.01;III/IV
HYDRALAZINE HYDROCHLORIDE;;1.17;III;III;III;50.0;44.2;III
HYDROCHLOROTHIAZIDE;0.1;-0.36;III;III;III;50.0;0.64;III
HYDROCORTISONE;3.4;1.89;;I/III;I;20.0;0.39;
HYDROXYCHLOROQUINE SULFATE;;4.12;;I;I;200.0;20.0;
IBUPROFEN;10.8;3.68;II;II;II;600.0;0.038;II
IMATINIB;;4.53;;II;II;400.0;0.04;
INOGATRAN;;-0.01;;III;III;;;
ISONIAZID;;-0.67;I;III;I/III;300.0;153.0;III
ISOSORBIDE DINITRATE;;-5.54;I/III;III;III;5.0;0.55;I/III
ISOTRETINOIN;;6.74;;II;II;40.0;0.01;
IVERMECTIN;;5.38;II/IV;II;II;3.0;0.0007;II/IV
KETOPROFEN;19.1;2.76;;II;II;75.0;0.18;
LAMIVUDINE;1.75;-1.46;I/III;III;III;300.0;70.0;III
LEDIPASVIR;;6.77;;II;;90.0;0.0018;
LEVAMISOLE;;1.84;I/III;I;I;150.0;5.1;I/III
LEVODOPA;;-2.82;I;III;I;500.0;3.08;I
LEVOFLOXACIN;0.02;-0.508;;III;I;750.0;30.0;I
LEVONORGESTREL;;3.31;I;I;I;1.5;0.01;I
LEVOTHYROXINE SODIUM SALT;;3.51;III;I;III;0.3;0.12;III
LINEZOLID;0.05;0.17;;III;I;600.0;8.0;
LISINOPRIL;;-1.69;;III;III;40.0;97.0;
LOPERAMIDE;5.8;4.66;;I;III;2.0;1.4;
LOPINAVIR;;6.1;II/IV;II;II;200.0;0.01;II/IV
LORATADINE;9.1;5.05;;II;II;10.0;0.01;
LOSARTAN;;5.02;;I;IV;100.0;0.048;
LUMEFANTRINE;;10.2;II/IV;I;II/IV;120.0;1.0;III/IV
MEBENDAZOLE;9.6;3.08;II/IV;II;II;500.0;0.035;II/IV
MEDROXYPROGESTERONE ACETATE;;4.2;;II;IV;5.0;0.022000000000000002;I/III
MEFLOQUINE;;3.67;II/IV;I;II;250.0;0.303;II/IV
MERCAPTOPURINE;;-1.33;;IV;II;50.0;0.124;II/IV
METFORMIN HYDROCHLORIDE;0.2;-1.63;III;III;III;500.0;33.0;III
METHOTREXATE;0.2;-0.53;III;III;III;15.0;0.45;III
METHYLDOPA;;-2.73;III;III;III;250.0;10.0;III
METOCLOPRAMIDE HYDROCHLORIDE;;2.23;I/III;I/III;III;10.0;0.04;III
METOPROLOL TARTRATE;3.5;1.35;I;I;I;100.0;43.0;I
METRONIDAZOLE;0.59;-2.33;I;III;I;500.0;11.6;I
MIDAZOLAM;10.0;3.42;;I;I;15.0;0.27;
MILTEFOSINE;;-2.38;;III/IV;;50.0;;
MISOPROSTOL;;3.07;;I;I/III;0.2;0.002;III/IV
MORPHINE SULFATE;;-0.22;I/III;III;III;10.0;0.27;I/III
NAPROXEN;24.3;2.82;;I;II;500.0;0.115;
NEOSTIGMINE BROMIDE;1.1;2.23;III;I;III;15.0;100.0;
NEVIRAPINE;;2.42;II;II;II;200.0;0.1;II
NICLOSAMIDE;;4.34;II/IV;II;II/IV;500.0;0.013000000000000001;II/IV
NICOTINAMIDE;;-7.16;I;III;I;50.0;366.8;I
NIFEDIPINE;11.0;3.41;II;II;II;10.0;0.008;II
NIFURTIMOX;;0.02;III;III;III;250.0;33.0;III
NITROFURANTOIN;;-0.47;II;IV;II/IV;100.0;0.16;II
NORETHISTERONE;;;I;I;I;1.0;0.01;I
OMBITASVIR;;;;;II/IV;12.5;0.01;
OMEPRAZOLE;;2.56;;I;I;40.0;0.5;
ONDANSETRON;;2.72;;I/III;I;8.0;5.7;
OSELTAMIVIR PHOSPHATE;;2.13;;I/III;I/III;75.0;5.88;
OXAMNIQUINE;;1.81;;II;II;250.0;0.82;II/IV
p-AMINOSALICYLIC ACID;;1.06;;III;I/III;500.0;3.2;II/IV
PARACETAMOL;3.3;0.49;III;IV;I;500.0;23.7;I
PARITAPRAVIR;;;;;II;75.0;0.01;
PENTAMIDINE;;;;I;III;300.0;100.0;
PHENOBARBITAL;;1.37;I;I/III;I;100.0;0.01;I
PHENOXYMETHYLPENICILLIN;;1.62;I;I/III;III;250.0;33.0;I
PHENYTOIN;;2.08;II;II;II;100.0;0.03;II
PIROXICAM;8.4;1.98;;II/IV;II;20.0;0.053;II
PRAZIQUANTEL;;3.36;II;II;II;600.0;0.34;II
PREDNISOLONE;5.7;3.5;I;I;I;25.0;0.24;I
PRIMAQUINE;;2.6;I;I/III;I;15.0;8.8;I
PROCARBAZINE HYDROCHLORIDE;;-0.083;;III;I;50.0;1.5;I/III
PROGUANIL;;1.16;I;I;I;100.0;9.09;I
PROPRANOLOL;23.5;2.75;I;I;I;40.0;39.52;I
PROPYLTHIOURACIL;;-0.03;III;III;I;50.0;1.2;I
PYRANTEL;;3.03;II/IV;II;II;250.0;0.5;II/IV
PYRAZINAMIDE;1.73;-0.68;I;III;III;400.0;21.6;III
PYRIDOSTIGMINE BROMIDE;0.14;-4.51;III;III;III;60.0;1000.0;III
PYRIMETHAMINE;;3.0;II/IV;II/IV;I/III;25.0;0.12;III/IV
QUININE SULFATE;;2.79;I/III;I;I;300.0;1.3;I
RANITIDINE;0.5;0.63;;III;III;300.0;550.0;III
RIBAVIRIN;;-2.85;;III;III;600.0;1.42;
RIFABUTIN;63.2;4.73;;II;II/IV;150.0;0.19;
RIFAMPICIN;1.6;4.03;II;II;II;300.0;0.64;II
RIFAPENTINE;19.3;5.41;;II;II;150.0;0.11;
RISPERIDONE;;2.71;;I;I;6.0;0.08;
RITONAVIR;;4.94;IV;II;II;100.0;0.01;II/IV
SALICYLIC ACID;21.5;2.19;;I/III;I;300.0;2.51;
SAQUINAVIR;;4.73;IV;I;II/IV;500.0;0.77;II/IV
SIMEPREVIR;;5.95;;II;II;150.0;0.01;
SIMVASTATIN;;3.64;;II;II;40.0;0.03;
SOFOSBUVIR;;0.84;;I/III;III;400.0;1.0;
SPIRONOLACTONE;;2.25;II/IV;II;II;25.0;0.02;III/IV
STAVUDINE;;-0.73;I;III;I;30.0;76.0;I
SULFADIAZINE;;0.1;II/IV;IV;II/IV;500.0;0.12;III/IV
SULFADOXINE;;1.23;;IV;I/III;500.0;0.2;I/III
SULFAMETHOXAZOLE;;0.56;II;IV;II;400.0;0.46;II
SULFASALAZINE;0.3;3.88;II/IV;II;IV;500.0;0.002;IV
TALINOLOL;;3.15;;I;III;100.0;4.5;
TAMOXIFEN;;6.82;;I;I;20.0;0.5;I
TENOFOVIR DISOPROXIL FUMARATE;;-1.56;;III;III;300.0;13.4;
TERBUTALINE;0.1;0.56;;III;III;;;
THIOGUANINE;;-1.88;;III;I/III;40.0;0.2;
TRIMETHOPRIM;2.2;0.98;II;IV;II;160.0;0.4;II
VALACYCLOVIR;;-1.22;;III;I;1000.0;174.0;
VALGANCICLOVIR;;-2.18;;III;III;450.0;70.0;
VALPROIC  ACID;;2.76;II;II;II;500.0;1.3;I
VERAPAMIL;9.7;4.47;I/II;I;I;120.0;11.0;II
RETINOL;;6.4;II/IV;II;II;110.0;0.01;II/IV
RIBOFLAXIN;;-0.73;I;;I;5.0;0.085;I
PYRIDOXINE;;-0.8;I;III;I;25.0;1.0;I
ASCORBIC ACID;;-1.76;III;III;I;50.0;333.3;I
ERGOCALCIFEROL;;6.59;III;;III;1.25;0.05;III
THIAMINE HIDROCHLORIDE;;-5.9670000000000005;III;III;III;50.0;33.0;III
WARFARIN SODIUM;12.3;2.9;I/II;I;II;0.1;0.018000000000000002;I
ZIDOVUDINE;4.9;0.04;I;III;I;0.83;18.65;I
ACAMPROSATE;;-2.465;;III;III;333.0;59.4;
RETINOIC ACID;;6.74;;II;II;40.0;0.07;
TRANEXAMIC ACID;0.0;-1.8;;III;III;500.0;167.0;
URSODEOXYCHOLIC ACID;;2.54;;II;II;500.0;0.0208;
ADEFOVIR;;-1.8730000000000002;;III;III;210.0;33.0;
ALENDRONATE SODIUM;;-5.64;;III;III;70.0;33.0;
ALPRAZOLAM;;2.55;;I;I;3.0;0.073;
AMANTADINE;;1.995;;I/III;I;100.0;2.12;
AMPICILLIN;;-1.204;;III;III;500.0;7.8;
ATORVASTATIN;;1.5;;II;II;80.0;0.02;
BACLOFEN;;-0.62;;III;III;20.0;2.1;
BIOTIN;;-1.33;;III;III;5.0;0.22;
BISACODYL;;2.85;;II;II/IV;5.0;0.01;
BROMOCRIPTINE MESYLATE;;6.58;;I;I/III;5.0;0.8;
BUSULFAN;;-0.5962;;III;I;2.0;0.1;
CABERGOLINE;;4.17;;I/III;I/III;1.0;0.01;
CAPTOPRIL;19.1;0.89;III;III;III;100.0;100.0;
CARVEDILOL;;4.04;;II;II;25.0;0.003;
CYPROHEPTADINE;;5.3;;I;I;4.0;3.64;I
CYPROTERONE ACETATE;;3.42;;II;II;50.0;0.01;
CLOBAZAM;;2.44;;I;I;20.0;0.188;
CLOMIPHENE;;7.15;I/III;I;I;50.0;1.06;I/III
CLONAZEPAM;;2.38;;I;I;2.0;0.1;
CLONIDINE;20.0;1.73;;I;I;0.3;76.9;
NILOTINIB CHLORHYDRATE;;5.84;;II;II/IV;200.0;0.005;
CHLORDIAZEPOXIDE;;2.4;;I;I;25.0;1.99;
CHLOROQUINE;;5.06;I;I;I;500.0;100.0;I
CHLORPROMAZINE;11.8;5.8;II/IV;I;I;200.0;50.0;III
CHLORTHALIDONE;;0.44799999999999995;;II/IV;IV;100.0;0.12;
COLCHICINE;;1.2;III;III;III;0.6;45.0;
CORTISONE;;-0.93;;III;III;25.0;0.21600000000000003;
DANAZOL;;0.6;;II;II;200.0;0.0009;
DEXCHLORPHENIRAMINE;;3.15;I/III;I;I;4.0;;
DIAZOXIDE;;1.42;;II/IV;II;100.0;0.15;
DIDANOSINE;;-1.92;III;III;III;400.0;27.3;III
DIETHYLSTILBESTROL;;4.96;;I;II;5.0;0.02;
DIPHENHYDRAMINE;;3.45;;I;I;50.0;3.06;
DIHYDRALAZINE;;1.75;;I/III;I/III;50.0;1.0;
DILTIAZEM;18.5;3.65;;I;I;120.0;0.51;
DIOSMIN MICRONIZED;;0.228;;IV;IV;500.0;0.01;
DIPYRIDAMOLE;;1.49;;II;II;75.0;0.005;
DIPYRONE;;-1.19;;III;I/III;600.0;666.67;
DISULFIRAM;;3.88;;IV;II;500.0;0.2;
DOMPERIDONE;;4.27;;II;II;20.0;0.017;
SPIRAMYCIN;;2.015;;II;II/IV;250.0;0.02;
EVEROLIMUS;;7.1;;I;III;1.0;0.01;
FENOTEROL;;0.98;;I/III;III;5.0;3.03;
FLECAINIDE;;3.66;;I;I;150.0;48.4;
FLUPHENAZINE;;4.11;;II;II;10.0;0.031;
FLUTAMIDE;;3.33;;II;II;250.0;0.0095;
FOSAMPRENAVIR;;3.04;;II;II;700.0;0.3;
FOSFOMYCIN;;-0.22699999999999998;;III;III;3000.0;88.5;
GABAPENTIN;1.2;-0.66;;III;III;800.0;100.0;
GLIBENCLAMIDE;;4.24;II/IV;II;II;10.0;0.01;II/IV
GLIMEPIRIDE;;3.96;;II;II;4.0;0.0012;
HYDROXYUREA;;-1.8;;III;III;500.0;100.0;
IMIPRAMINE;12.9;5.04;;II;II;50.0;0.0182;
INDINAVIR;;3.68;IV;I;II;400.0;0.07;II/IV
INDOMETHACIN;6.3;4.18;;II;II;50.0;0.0025;
ITRACONAZOLE;;5.99;;II;II;100.0;0.01;
KETOCONAZOLE;3.3;3.64;;II;II;200.0;0.08;
KETOTIFEN;;3.59;;I/III;I/III;1.0;1.0;
LAMOTRIGINE;;2.53;;II;II;200.0;0.17;
LETROZOLE;;1.43;;I;I;2.5;0.04;
LEVOMEPROMAZINE;;4.83;;II;II;25.0;0.02;
MANDELAMINE;;2.43;;I/III;I/III;1000.0;312.0;
MECLIZINE;;6.73;;II;II/IV;50.0;0.01;
MEDAZEPAM;;4.12;;II;II/IV;10.0;0.01;
MELPHALAN;10.2;-0.21;;I/III;I;2.0;0.1;
MEPROBAMATE;;0.915;;III;I/III;400.0;5.94;
MESALAZINE;;1.06;;IV;II/IV;1200.0;0.654;II/IV
METHANDIENONE;;4.1;;II;II;25.0;0.01;
METHYLPHENIDATE;;2.56;;I;I;20.0;100.0;
METHIMAZOLE;;-0.34;;III;I;10.0;275.0;
METHOCARBAMOL;;0.146;;III;III;750.0;7.2;
MYCOPHENOLATE MOFETIL;;2.98;;II;II;500.0;0.043;
MINOCYCLINE;;-1.18;;III;III;100.0;52.0;
MONTELUKAST;;8.47;;I;II;10.0;0.01;
NALIDIXIC ACID;;1.34;II;IV;II;500.0;0.054000000000000006;
NALTREXONE CLORHIDRATE;;0.36;;III;I;100.0;100.0;
NELFINAVIR ;;5.84;IV;I;IV;750.0;1.0;
NIMODIPINE;;4.0;;II;II;30.0;0.0023;
NYSTATIN;;-3.2;III/IV;III;IV;100.0;0.01;
NITRAZEPAM;;2.32;;I/III;I/III;10.0;0.043;
NORFLOXACIN;0.9;-0.78;;IV;IV;400.0;1.0;
OFLOXACIN;6.3;-0.508;;III;I;400.0;3.23;I
OLANZAPINE;;3.88;;II;II;20.0;0.01;
OXACILLIN;;2.04;;I/III;III;250.0;25.0;
OXYBUTYNIN;;4.87;;I;I;10.0;0.8;
PENTOXIFYLLINE ;;0.11599999999999999;;III;I;400.0;77.0;
PIMOZIDE;;6.4;;II;II/IV;4.0;0.003;
PIRACETAM ;;-1.18;;III;III;800.0;83.0;
PREDNISONE;;1.66;;I/III;I;10.0;0.133;I
PRIMIDONE;;0.88;;IV;II;250.0;0.6;
PROPAFENONE;;3.64;;II;II;300.0;0.1;
QUETIAPINE;;2.96;;I;I;400.0;3.29;
QUINACRINE;;6.72;;I;I;300.0;10.0;
SALBUTAMOL;;0.06;I;III;I;4.0;17.7;I
SECNIDAZOLE;;-0.14;;III;III;1000.0;15.5;
SERTRALINE;;5.35;;I;I;100.0;3.8;
SILDENAFIL;;1.98;;I/III;I;100.0;3.5;
SOTALOL;2.9;0.226;;III;III;240.0;137.0;
SUCRALFATE;;-6.0889999999999995;;IV;IV;1000.0;0.01;
QUINIDINE;;1.57;;I;I;300.0;11.0;I/III
TACROLIMUS;;5.78;;II;II;5.0;0.012;
THALIDOMIDE;;0.528;;IV;II;200.0;0.545;
THEOPHYLLINE;4.8;-0.03;I;IV;I;600.0;8.3;
TERAZOSIN;;2.18;;I/III;III;10.0;24.2;
TETRACYCLINE;;-0.9;;III;III;500.0;27.7;
THIABENDAZOLE;;2.36;;II/IV;II;500.0;0.05;
TIANEPTINE;;1.52;;I;I;40.0;92.0;
THIORIDAZINE;;6.0;;I;III;200.0;1.0;
TIPRANAVIR;;7.67;;II;II;500.0;0.01;
TOLBUTAMIDE;;2.49;;II;II;500.0;0.8;
TOPIRAMATE;;-3.79;;III;III;200.0;9.75;
TRAMADOL;;3.1;;I;I;50.0;30.0;
TRIENTINE;;-2.36;;III;III;300.0;100.0;
TRIFLUOPERAZINE;;4.69;;I;I;10.0;50.0;
TRIHEXIPHENYDIL;;5.15;;I;I;5.0;1.0;
VIGABATRIN;;-2.217;;III;III;500.0;100.0;
