Compound;BCS-OMS;Smin;Dmax;BCS-Final;BCS-Kasim;BCS-Lindenberg
RITONAVIR;II/IV;0.01;100.0;II;II;IV
SIMVASTATIN;;0.03;40.0;II;II;
SPIRONOLACTONE;III/IV;0.02;25.0;II;II;II/IV
STAVUDINE;I;76.0;30.0;I;III;I
TALINOLOL;;4.5;100.0;III;I;
TAMOXIFEN;I;0.5;20.0;I;I;
THIOGUANINE;;0.2;40.0;I/III;III;
VERAPAMIL;II;11.0;120.0;I;I;I/II
RETINOL;II/IV;0.01;110.0;II;II;II/IV
RIBOFLAXIN;I;0.085;5.0;I;;I
PYRIDOXINE;I;1.0;25.0;I;III;I
ERGOCALCIFEROL;III;0.05;1.25;III;;III
THIAMINE HIDROCHLORIDE;III;33.0;50.0;III;III;III
WARFARIN SODIUM;I;0.018000000000000002;0.1;II;I;I/II
ZIDOVUDINE;I;18.65;0.83;I;III;I
RETINOIC ACID;;0.07;40.0;II;II;
ALENDRONATE SODIUM;;33.0;70.0;III;III;
ALPRAZOLAM;;0.073;3.0;I;I;
AMANTADINE;;2.12;100.0;I;I/III;
ATORVASTATIN;;0.02;80.0;II;II;
BACLOFEN;;2.1;20.0;III;III;
BIOTIN;;0.22;5.0;III;III;
BISACODYL;;0.01;5.0;II/IV;II;
BROMOCRIPTINE MESYLATE;;0.8;5.0;I/III;I;
BUSULFAN;;0.1;2.0;I;III;
CABERGOLINE;;0.01;1.0;I/III;I/III;
CARVEDILOL;;0.003;25.0;II;II;
CYPROHEPTADINE;I;3.64;4.0;I;I;
CYPROTERONE ACETATE;;0.01;50.0;II;II;
CLOBAZAM;;0.188;20.0;I;I;
CLOMIPHENE;I/III;1.06;50.0;I;I;I/III
CLONAZEPAM;;0.1;2.0;I;I;
CLONIDINE;;76.9;0.3;I;I;
CHLORDIAZEPOXIDE;;1.99;25.0;I;I;
CHLORTHALIDONE;;0.12;100.0;IV;II/IV;
COLCHICINE;;45.0;0.6;III;III;III
CORTISONE;;0.21600000000000005;25.0;III;III;
DIAZOXIDE;;0.15;100.0;II;II/IV;
DIETHYLSTILBESTROL;;0.02;5.0;II;I;
DIPHENHYDRAMINE;;3.06;50.0;I;I;
DIHYDRALAZINE;;1.0;50.0;I/III;I/III;
DILTIAZEM;;0.51;120.0;I;I;
DIPYRIDAMOLE;;0.005;75.0;II;II;
DOMPERIDONE;;0.017;20.0;II;II;
EVEROLIMUS;;0.01;1.0;III;I;
FENOTEROL;;3.03;5.0;III;I/III;
FLUPHENAZINE;;0.031;10.0;II;II;
GLIBENCLAMIDE;II/IV;0.01;10.0;II;II;II/IV
GLIMEPIRIDE;;0.0012;4.0;II;II;
IMIPRAMINE;;0.0182;50.0;II;II;
INDOMETHACIN;;0.0025;50.0;II;II;
ITRACONAZOLE;;0.01;100.0;II;II;
KETOTIFEN;;1.0;1.0;I/III;I/III;
LETROZOLE;;0.04;2.5;I;I;
LEVOMEPROMAZINE;;0.02;25.0;II;II;
MECLIZINE;;0.01;50.0;II/IV;II;
MEDAZEPAM;;0.01;10.0;II/IV;II;
MELPHALAN;;0.1;2.0;I;I/III;
METHANDIENONE;;0.01;25.0;II;II;
MONTELUKAST;;0.01;10.0;II;I;
NIMODIPINE;;0.0023;30.0;II;II;
NYSTATIN;;0.01;100.0;IV;III;III/IV
NITRAZEPAM;;0.043;10.0;I/III;I/III;
OLANZAPINE;;0.01;20.0;II;II;
OXYBUTYNIN;;0.8;10.0;I;I;
PIMOZIDE;;0.003;4.0;II/IV;II;
PREDNISONE;I;0.133;10.0;I;I/III;
SALBUTAMOL;I;17.7;4.0;I;III;I
SERTRALINE;;3.8;100.0;I;I;
SILDENAFIL;;3.5;100.0;I;I/III;
TACROLIMUS;;0.012;5.0;II;II;
TERAZOSIN;;24.2;10.0;III;I/III;
TRAMADOL;;30.0;50.0;I;I;
TRIFLUOPERAZINE;;50.0;10.0;I;I;
TRIHEXIPHENYDIL;;1.0;5.0;I;I;
